paper	fos	similarity
297359183	127413603	0.433382332
297359208	542102704	0.452810258
297359208	70410870	0.4537434
297359208	15744967	0.437556922
297359346	557945733	0.43827337
297359346	179518139	0.405989945
297359346	41008148	0.407519
297359346	41550386	0.514567137
297359346	120314980	0.459712356
297359346	73989555	0.4636602
297359346	79403827	0.45999366
297359384	540791928	0.6261301
297359384	51067260	0.6017519
297359384	44877443	0.7472813
297359384	65916561	0.7353646
297359384	151416629	0.64494133
297359384	19417346	0.465819746
297359384	17744445	0.433491766
297359384	1631582	0.4180038
297359384	184827183	0.637086451
297359391	2779760920	0.502413452
297359391	19067145	0.542051256
297359391	137488568	0.494799018
297359391	108225325	0.498152137
297359391	2781128178	0.540293634
297359391	153385146	0.5175096
297359391	182762160	0.4878963
297359391	31500677	0.5400188
297359391	192562407	0.370738149
297359391	24326235	0.401144564
297359421	117671659	0.469236881
297359421	101826366	0.6300259
297359421	180539650	0.5834183
297359421	2778939432	0.57875216
297359421	523214423	0.558159351
297359421	127413603	0.42575857
297359696	170053440	0.445327342
297359696	2780853383	0.4967003
297359696	199639397	0.3216301
297359696	159985019	0.355174959
297359696	127413603	0.258512944
297359741	201995342	0.395800978
297359741	6929976	0.5484589
297359741	42475967	0.390980482
297359741	41008148	0.376151949
297359747	195324797	0.6948456
297359747	2779313563	0.5832591
297359747	204321447	0.4562997
297359747	2779388314	0.5560286
297359747	88610354	0.4499641
297359747	41895202	0.459114671
297359747	26022165	0.623376
297359747	41008148	0.425763428
297359747	154945302	0
297359759	2779501167	0.5174446
297359759	47768531	0.442766339
297359759	2778444522	0.5071664
297359759	178495626	0.6625577
297359759	115314567	0.562210739
297359759	190974861	0.6400799
297359759	55112680	0.5078039
297359759	182566	0.450659335
297359759	17744445	0.4520877
297359759	2779010840	0.5053942
297359759	199539241	0.431350768
297359762	2779876028	0.42825067
297359762	204530211	0.3728817
297359762	137488568	0.492513448
297359762	192562407	0.3853892
297359762	49040817	0.39930138
297359762	54956558	0.422147721
297359762	24326235	0.401441455
297359765	153294291	0.265758753
297359765	121332964	0.227387667
297359765	554144382	0.3135173
297359782	159750122	0.473295182
297359782	28631016	0.43467176
297359782	187320778	0.441290438
297359782	172427765	0.5093738
297359782	186295008	0.49973163
297359782	100187453	0.495479822
297359782	24939127	0.47587958
297359782	39432304	0.388282657
297359796	2779687537	0.515223265
297359796	2778455923	0.439127654
297359796	90924648	0.394804418
297359796	165901193	0.408388317
297359796	142724271	0.408669353
297359796	2776225656	0.462408274
297359796	126322002	0
297359796	86803240	0.3417933
297359816	177322064	0.381213874
297359816	46805990	0.445928365
297359816	541523362	0.450754076
297359816	185592680	0.314965039
297359861	159047783	0.295027465
297359861	95457728	0.25665313
297359957	2777340834	0.567493
297359957	178790620	0.3580622
297359957	185592680	0.336644
297360019	2777826127	0.486703217
297360019	175762713	0.490212053
297360019	2776034101	0.4566265
297360019	2776737852	0.5640951
